01.06.2018;4,0875;0;7,075;35,6;;;;;;
02.06.2018;4,975;0,4;;;;;;;;
03.06.2018;6,45;0,5;;;;;;;;
04.06.2018;7,9875;7;;;;;Месяц;Декада;Среднесуточная температура, °С;Количество осадков, мм
05.06.2018;10,575;5;;;;;июнь;I;;
06.06.2018;7,25;0;;;;;;II;;
07.06.2018;7,5;0,7;;;;;;III;;
08.06.2018;6,6625;4;;;;;за месяц;;;
09.06.2018;7,85;18;;;;;июль;I;;
10.06.2018;7,4125;0;;;;;;II;;
11.06.2018;7,6;0;12,79625;30,9;;;;III;;
12.06.2018;8,625;0,3;;;;;за месяц;;;
13.06.2018;12,2875;28;;;;;август;I;;
14.06.2018;7,925;0,6;;;;;;II;;
15.06.2018;8,6875;0;;;;;;III;;
16.06.2018;12,9625;0;;;;;за месяц;;;
17.06.2018;15,9375;0;;;;;сентябрь;I;;
18.06.2018;18,2125;0;;;;;;II;;
19.06.2018;18,7625;0;;;;;;III;;
20.06.2018;16,9625;2;;;;;за месяц;;;
21.06.2018;12,5375;5,4;20,47375;9,4;;;;;;
22.06.2018;17,775;0;;;;;;;;
23.06.2018;18,45;0;;;;;;;;
24.06.2018;23,2375;0;;;;;;;;
25.06.2018;25,05;0;;;;;;;;
26.06.2018;25,825;0;;;;;;;;
27.06.2018;23,2375;0;;;;;;;;
28.06.2018;20,0125;4;;;;;;;;
29.06.2018;17,7625;0;;;;;;;;
30.06.2018;20,85;0;;;;;;;;
01.07.2018;18,1;0;18,18625;46,9;;;;;;
02.07.2018;11,8125;3;;;;;;;;
03.07.2018;18,9;0,3;;;;;;;;
04.07.2018;20,2125;2;;;;;;;;
05.07.2018;20,2375;13;;;;;;;;
06.07.2018;19,1875;7,7;;;;;;;;
07.07.2018;19,075;0;;;;;;;;
08.07.2018;19,65;3;;;;;;;;
09.07.2018;16,3625;17;;;;;;;;
10.07.2018;18,325;0,9;;;;;;;;
11.07.2018;16,8625;0,3;20,65875;39,8;;;;;;
12.07.2018;21,275;0,7;;;;;;;;
13.07.2018;20,7;0;;;;;;;;
14.07.2018;20,2375;0;;;;;;;;
15.07.2018;20,475;38;;;;;;;;
16.07.2018;21,65;0,8;;;;;;;;
17.07.2018;22,0875;0;;;;;;;;
18.07.2018;20,675;0;;;;;;;;
19.07.2018;20,225;0;;;;;;;;
20.07.2018;22,4;0;;;;;;;;
21.07.2018;21,4125;0;19,4022727273;0;;;;;;
22.07.2018;19,6375;0;;;;;;;;
23.07.2018;19,55;0;;;;;;;;
24.07.2018;20,325;0;;;;;;;;
25.07.2018;19,7625;0;;;;;;;;
26.07.2018;22,1875;0;;;;;;;;
27.07.2018;23,0125;0;;;;;;;;
28.07.2018;16,4875;0;;;;;;;;
29.07.2018;14,55;0;;;;;;;;
30.07.2018;16,625;0;;;;;;;;
31.07.2018;19,875;0;;;;;;;;
01.08.2018;19,7125;0;15,59875;16,2;;;;;;
02.08.2018;21,0125;0;;;;;;;;
03.08.2018;16,0375;0,7;;;;;;;;
04.08.2018;11,1375;0;;;;;;;;
05.08.2018;13,5;0;;;;;;;;
06.08.2018;15,825;10,5;;;;;;;;
07.08.2018;14,9375;5;;;;;;;;
08.08.2018;12,3;0;;;;;;;;
09.08.2018;13,95;0;;;;;;;;
10.08.2018;17,575;0;;;;;;;;
11.08.2018;16,4875;0;14,83;24,3;;;;;;
12.08.2018;19,475;11;;;;;;;;
13.08.2018;18,7;0,3;;;;;;;;
14.08.2018;14,6375;4;;;;;;;;
15.08.2018;13,95;3;;;;;;;;
16.08.2018;12,3375;0;;;;;;;;
17.08.2018;11,1375;0;;;;;;;;
18.08.2018;11,4625;0;;;;;;;;
19.08.2018;15,8;0;;;;;;;;
20.08.2018;14,3125;6;;;;;;;;
21.08.2018;16,475;0;13,1988636364;11,4;;;;;;
22.08.2018;14,5125;3,4;;;;;;;;
23.08.2018;8,9375;2;;;;;;;;
24.08.2018;8,525;1;;;;;;;;
25.08.2018;11,7625;0;;;;;;;;
26.08.2018;12,0125;0;;;;;;;;
27.08.2018;15,525;0;;;;;;;;
28.08.2018;18,4125;0;;;;;;;;
29.08.2018;15,8625;5;;;;;;;;
30.08.2018;12,6125;0;;;;;;;;
31.08.2018;10,55;0;;;;;;;;
01.09.2018;11,525;0;10,80125;1;;;;;;
02.09.2018;10,25;0;;;;;;;;
03.09.2018;10,3;0;;;;;;;;
04.09.2018;11,2375;0;;;;;;;;
05.09.2018;11,85;0;;;;;;;;
06.09.2018;11,775;0;;;;;;;;
07.09.2018;13,05;0;;;;;;;;
08.09.2018;12,9;1;;;;;;;;
09.09.2018;7,975;0;;;;;;;;
10.09.2018;7,15;0;;;;;;;;
11.09.2018;10,7125;0;9,7475;36,7;;;;;;
12.09.2018;9,05;0,3;;;;;;;;
13.09.2018;12,0625;11;;;;;;;;
14.09.2018;10,7375;12;;;;;;;;
15.09.2018;11;5;;;;;;;;
16.09.2018;10,6625;0;;;;;;;;
17.09.2018;11,175;8;;;;;;;;
18.09.2018;7,5;0;;;;;;;;
19.09.2018;8,7875;0,4;;;;;;;;
20.09.2018;5,7875;0;;;;;;;;
